Verb,Most Likely Behavior,Internal / External (from Most Likely Behavior),Independent / Interactive (from Most Likely Behavior),Preferred Context (from Most Likely Behavior),Preferred Stimulus Task Type (from Most Likely Behavior),Other Possible Stimulus Task Type (from Most Likely Behavior),Learner choice of stimulus (from Most Likely Behavior),Preferred Deliverable Task Type (from Most Likely Behavior),Other Possible Deliverable Task Type (from Most Likely Behavior),Learner choice of deliverable (from Most Likely Behavior)
Interpret,"Know / Understand,Think Critically (Prospective)","Internal,Internal","Independent,Independent","Hypothetical / Simulated,Hypothetical / Simulated","Scenario,Scenario","Real world demonstration,Real world project,Design project,Simulation,Real world project,Real world demonstration,Design project","Decided by program,Decided by program","*None: Must be paired with External Behavior*,*None: Must be paired with External Behavior*",,"N/A,N/A"
Iterate,React,External,Interactive,Hypothetical / Simulated,Simulation,"Role Play,Real world demonstration",No choice,Observation,,No choice
Justify,Explain,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",No choice,Answer questions,"Report,Presentation,Artifact",Always
Lead,"Implement,Interact","External,External","Interactive,Interactive","Real world,Hypothetical / Simulated","Real world demonstration,Role Play","Simulation,Real world demonstration,Simulation,Real world demonstration","No choice,No choice","Report,Observation","Portfolio,Observation,Presentation,Presentation","Decided by Program,No choice"
Leverage,"Think Critically (Prospective),React","Internal,External","Independent,Interactive","Hypothetical / Simulated,Hypothetical / Simulated","Scenario,Simulation","Simulation,Real world project,Real world demonstration,Design project,Role Play,Real world demonstration","Decided by program,No choice","*None: Must be paired with External Behavior*,Observation",,"N/A,No choice"
Make,Create,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Always,Proposal / Prototype,"Observation,Artifact,Portfolio,Report,Presentation",Decided by Program
Manage,"Implement,React","External,External","Interactive,Interactive","Real world,Hypothetical / Simulated","Real world demonstration,Simulation","Simulation,Real world demonstration,Role Play,Real world demonstration","No choice,No choice","Report,Observation","Portfolio,Observation,Presentation","Decided by Program,No choice"
Measure,"Think Critically (Prospective),Implement","Internal,External","Independent,Interactive","Hypothetical / Simulated,Real world","Scenario,Real world demonstration","Simulation,Real world project,Real world demonstration,Design project,Simulation,Real world demonstration","Decided by program,No choice","*None: Must be paired with External Behavior*,Report","Portfolio,Observation,Presentation","N/A,Decided by Program"
Monitor,React,External,Interactive,Hypothetical / Simulated,Simulation,"Role Play,Real world demonstration",No choice,Observation,,No choice
Negotiate,Interact,External,Interactive,Hypothetical / Simulated,Role Play,"Simulation,Real world demonstration",No choice,Observation,Presentation,No choice
Observe,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
